student_id,name,age,gender,gpa,attendance_rate,study_hours,previous_semester_grades,family_income,dropout_risk,risk_factors
STU0001,Emily Smith,24,Female,3.98,0.74,22.9,A,20.0,0.25,"Below Average Attendance, Low Family Income"
STU0002,William Davis,21,Female,2.39,0.9,8.8,A,49.48,0.3,"Below Average GPA, Low Study Hours"
STU0003,Emma Jones,22,Male,2.15,0.83,25.7,B,44.82,0.15,Below Average GPA
STU0004,Emily Moore,24,Female,2.4,0.92,5.2,A,63.01,0.3,"Below Average GPA, Low Study Hours"
STU0005,Michael Jackson,20,Male,3.53,0.9,14.2,A,66.84,0.05,Below Average Study Hours
STU0006,Ava Johnson,22,Female,3.06,0.84,17.9,C,97.52,0.0,
STU0007,John Williams,22,Female,2.38,0.77,16.4,A,79.01,0.25,"Below Average GPA, Below Average Attendance"
STU0008,James Davis,24,Male,3.21,0.7,11.9,F,48.46,0.45,"Poor Attendance, Below Average Study Hours, Failed Courses"
STU0009,Joseph Martin,19,Female,2.88,0.81,14.0,B,42.03,0.05,Below Average Study Hours
STU0010,John Moore,20,Male,3.57,0.94,12.5,C,69.84,0.05,Below Average Study Hours
STU0011,James Moore,24,Female,2.24,0.87,12.1,D,33.6,0.35,"Below Average GPA, Below Average Study Hours, Below Average Family Income, Poor Previous Grades"
STU0012,Ava Davis,20,Male,2.54,0.73,19.2,B,96.63,0.1,Below Average Attendance
STU0013,Andrew Jackson,20,Male,2.49,0.87,16.8,F,83.59,0.35,"Below Average GPA, Failed Courses"
STU0014,William Smith,22,Female,1.63,0.89,11.5,B,50.62,0.35,"Low GPA, Below Average Study Hours"
STU0015,Sarah Wilson,21,Female,3.04,0.76,19.5,F,25.74,0.45,"Below Average Attendance, Low Family Income, Failed Courses"
STU0016,Daniel Rodriguez,20,Male,3.01,0.87,16.5,F,87.08,0.2,Failed Courses
STU0017,David Miller,23,Female,2.8,0.86,19.1,D,57.71,0.1,Poor Previous Grades
STU0018,Daniel Brown,22,Female,2.61,0.74,18.1,B,84.76,0.1,Below Average Attendance
